constituent_id,constituent_name,constituent_type,preferred_class_year,city,state,email,gift_id,gift_date,gift_amount,gift_type,campaign,designation,gift_officer
C02854,Avery Brooks,Alumnus,1975.0,Miami,ZZ,avery.brooksc02854@example.org,G000032,2021-10-05,596.66,Cash,Athletics,Designation 07,Officer F
C04996,Jordan Jones,Alumnus,1982.0,Dallas,ZZ,jordan.jonesc04996@example.org,G000033,2022-08-05,493.71,Cash,Capital Renewal,Designation 02,Officer A
C02090,Morgan Brooks,Parent,1956.0,New York,ZZ,morgan.brooksc02090@example.org,G000034,2023-01-02,161.69,Pledge Payment,Scholarships,Designation 12,Officer G
C02924,Casey Adams,Alumnus,1982.0,Seattle,ZZ,casey.adamsc02924@example.org,G000035,2023-03-11,2125.01,Stock,Library,Designation 06,Officer G
C01422,Riley Ellis,Alumnus,1990.0,New York,ZZ,riley.ellisc01422@example.org,G000036,2024-12-04,336.7,Cash,Student Success,Designation 15,Officer G
C04038,Skyler Green,Friend,1980.0,Miami,ZZ,skyler.greenc04038@example.org,G000037,2026-03-24,123.77,Cash,Arts,Designation 09,Officer H
C02652,Cameron Irwin,Alumnus,1957.0,Miami,ZZ,cameron.irwinc02652@example.org,G000038,2024-12-26,715.3,Cash,Library,Designation 09,Officer E
C03928,Taylor Brooks,Friend,1986.0,Seattle,ZZ,taylor.brooksc03928@example.org,G000039,2023-05-24,419.12,Pledge Payment,Capital Renewal,Designation 15,Officer D
C01247,Taylor Jones,Friend,2006.0,New York,ZZ,taylor.jonesc01247@example.org,G000040,2024-07-12,26.69,Cash,Health Sciences,Designation 11,Officer C
C02100,Taylor Jones,Alumnus,1993.0,Denver,MA,avery.irwinc02100@example.org,G000041,2026-06-18,191.81,Pledge Payment,Annual Fund,Designation 04,Officer E
C02503,Taylor Jones,Parent,1982.0,Miami,NY,morgan.carterc02503@example.org,G000042,2023-08-19,408.04,Cash,Arts,Designation 03,Officer H
C00245,Taylor Jones,Friend,2018.0,Seattle,IL,avery.fosterc00245@example.org,G000043,2026-03-09,308.84,Stock,Athletics,Designation 11,Officer B
C03202,Taylor Jones,Alumnus,1992.0,Seattle,IL,riley.jonesc03202@example.org,G000044,2023-09-14,7142.8,Cash,Scholarships,Designation 15,Officer E
C02210,Taylor Jones,Friend,1978.0,New York,GA,morgan.brooksc02210@example.org,G000045,2023-12-22,96.33,Cash,Athletics,Designation 15,Officer E
C01422,Riley Ellis,Alumnus,1990.0,New York,CO,riley.ellisc01422@example.org,G000046,2022-12-25,malformed,Cash,Student Success,Designation 14,Officer H
C03576,Skyler Foster,Alumnus,1969.0,Chicago,FL,skyler.fosterc03576@example.org,G000047,2021-09-19,malformed,Cash,Research,Designation 11,Officer D
C02894,Jordan Brooks,Alumnus,1982.0,Atlanta,GA,jordan.brooksc02894@example.org,G000048,2024-09-14,malformed,Stock,Arts,Designation 15,Officer G
C03292,Taylor Brooks,Alumnus,1961.0,Chicago,MA,taylor.brooksc03292@example.org,G000049,2025-02-14,malformed,Cash,Library,Designation 09,Officer C
C04934,Avery Ellis,Alumnus,1963.0,Boston,TX,avery.ellisc04934@example.org,G000050,2026-01-31,malformed,Cash,Research,Designation 07,Officer D
C03700,Riley Irwin,Alumnus,2018.0,Dallas,CO,riley.irwinc03700@example.org,G000051,2022-06-01,695.98,Cash,Health Sciences,Designation 10,
C00004,Quinn Hayes,Alumnus,2001.0,New York,TX,quinn.hayesc00004@example.org,G000052,2026-03-05,4287.04,Cash,Annual Fund,Designation 06,
C02781,Cameron Irwin,Parent,2013.0,Boston,GA,cameron.irwinc02781@example.org,G000053,2023-11-19,1189.48,Pledge Payment,Athletics,Designation 05,
C01422,Riley Ellis,Alumnus,1990.0,New York,CO,riley.ellisc01422@example.org,G000054,2022-04-27,1115.01,Cash,Arts,Designation 02,
C01422,Riley Ellis,Alumnus,1990.0,New York,CO,riley.ellisc01422@example.org,G000055,2026-01-13,919.89,Cash,Annual Fund,Designation 06,
C03936,Reese Brooks,Friend,1961.0,Dallas,FL,reese.brooksc03936@example.org,G000056,2023-08-13,430.31,Pledge Payment,Research,Designation 15,
C04476,Reese Ellis,Alumnus,1959.0,Dallas,GA,reese.ellisc04476@example.org,G000057,2021-08-17,249.36,Cash,Library,Designation 02,
C02597,Casey Irwin,Friend,1981.0,Chicago,MA,casey.irwinc02597@example.org,G000058,2026-03-09,130481.45,Matching Gift,Capital Renewal,Designation 13,
C02169,Quinn Diaz,Friend,2001.0,Chicago,FL,quinn.diazc02169@example.org,G000059,2025-09-04,2879.85,Cash,Health Sciences,Designation 08,
C01512,Cameron Jones,Alumnus,1983.0,Dallas,MA,cameron.jonesc01512@example.org,G000060,2024-11-27,42.03,Cash,Unrestricted,Designation 06,
C02676,Skyler Jones,Alumnus,2008.0,Chicago,TX,skyler.jonesc02676@example.org,G000060,2023-04-13,16.03,Cash,Research,Designation 01,Officer A
C01246,Taylor Jones,Parent,1960.0,Seattle,NY,taylor.jonesc01246@example.org,G000060,2023-09-13,1016.91,Pledge Payment,Library,Designation 06,Officer F
C03801,Avery Irwin,Alumnus,2018.0,Denver,IL,avery.irwinc03801@example.org,G000060,2025-12-04,235.84,Cash,Student Success,Designation 12,Officer C
C03105,Riley Diaz,Friend,1993.0,Miami,TX,riley.diazc03105@example.org,G000064,2025-11-30,427.85,Cash,Unrestricted,Designation 01,Officer F
C02676,Skyler Jones,Alumnus,2008.0,Chicago,TX,skyler.jonesc02676@example.org,G000065,2021-07-13,2814.33,Cash,Arts,Designation 02,Officer C
C04455,Jordan Adams,Alumnus,1961.0,Dallas,GA,jordan.adamsc04455@example.org,G000066,2024-11-26,4235.63,Cash,Unrestricted,Designation 15,Officer H
C03887,Taylor Brooks,Alumnus,1984.0,Dallas,TX,taylor.brooksc03887@example.org,G000067,2022-10-24,4464.16,Cash,Scholarships,Designation 06,Officer G
C04587,Quinn Carter,Alumnus,2022.0,Dallas,WA,quinn.carterc04587@example.org,G000068,2022-04-15,176.06,Cash,Scholarships,Designation 14,Officer G
C03342,Avery Ellis,Friend,1975.0,Denver,MA,avery.ellisc03342@example.org,G000069,2025-04-03,89.18,Cash,Capital Renewal,Designation 04,Officer C
C04735,Reese Irwin,Alumnus,2012.0,New York,CO,reese.irwinc04735@example.org,G000070,2026-06-15,1038.84,Cash,Arts,Designation 09,Officer H
C03601,Jordan Jones,Alumnus,2011.0,Denver,TX,jordan.jonesc03601@example.org,G000071,2023-04-23,4813.97,Cash,Athletics,Designation 05,Officer H
C02100,Avery Irwin,Alumnus,1993.0,Denver,MA,avery.irwinc02100@example.org,G000072,2026-05-11,447.89,Pledge Payment,Student Success,Designation 12,Officer D
C00210,Morgan Green,Alumnus,2019.0,Atlanta,WA,morgan.greenc00210@example.org,G000073,2024-08-29,794.19,Cash,Library,Designation 10,Officer A
C04228,Casey Jones,Parent,1979.0,Miami,MA,casey.jonesc04228@example.org,G000074,2024-12-04,1348.11,Cash,Annual Fund,Designation 14,Officer F
C00226,Riley Irwin,Alumnus,1985.0,Chicago,WA,riley.irwinc00226@example.org,G000075,2026-02-26,3397.69,Pledge Payment,Athletics,Designation 09,Officer A
C03707,Cameron Jones,Alumnus,1992.0,New York,MA,cameron.jonesc03707@example.org,G000076,2024-08-21,77.64,Cash,Research,Designation 12,Officer E
C02498,Taylor Brooks,Friend,1959.0,Denver,FL,taylor.brooksc02498@example.org,G000077,2022-05-23,360.8,Cash,Scholarships,Designation 12,Officer B
C02061,Casey Foster,Alumnus,1967.0,Atlanta,TX,casey.fosterc02061@example.org,G000078,2024-06-18,228.84,Cash,Annual Fund,Designation 13,Officer C
C00353,Cameron Green,Friend,1987.0,Miami,CO,cameron.greenc00353@example.org,G000079,2023-06-22,1215.2,Cash,Library,Designation 12,Officer G
C00302,Casey Hayes,Alumnus,2012.0,Atlanta,FL,casey.hayesc00302@example.org,G000080,2021-12-31,196.12,Cash,Arts,Designation 12,Officer G
C01557,Taylor Carter,Alumnus,1981.0,Atlanta,CO,taylor.carterc01557@example.org,G000081,2022-09-12,365.65,Matching Gift,Unrestricted,Designation 03,Officer B
C04971,Cameron Brooks,Parent,2001.0,Atlanta,FL,cameron.brooksc04971@example.org,G000082,2023-10-10,1224.59,Cash,Research,Designation 14,Officer F
C04151,Quinn Diaz,Alumnus,1964.0,Miami,IL,quinn.diazc04151@example.org,G000083,2023-06-24,834.34,Stock,Scholarships,Designation 13,Officer C
C00999,Jordan Green,Alumnus,1989.0,Denver,GA,jordan.greenc00999@example.org,G000084,2024-12-04,350.98,Cash,Scholarships,Designation 05,Officer C
C04464,Taylor Foster,Friend,1988.0,Denver,TX,taylor.fosterc04464@example.org,G000085,2022-06-03,144.41,Cash,Scholarships,Designation 13,Officer H
C03046,Taylor Carter,Alumnus,1994.0,Dallas,CO,taylor.carterc03046@example.org,G000086,2022-01-28,169.3,Cash,Scholarships,Designation 15,Officer A
C00916,Reese Adams,Alumnus,2010.0,Boston,MA,reese.adamsc00916@example.org,G000087,2026-06-21,245.74,Cash,Health Sciences,Designation 10,Officer C
C02889,Morgan Diaz,Friend,1969.0,Atlanta,TX,morgan.diazc02889@example.org,G000088,2023-04-22,144.18,Cash,Annual Fund,Designation 13,Officer G
C01422,Riley Ellis,Alumnus,1990.0,New York,CO,riley.ellisc01422@example.org,G000089,2024-08-07,679.64,Cash,Unrestricted,Designation 14,Officer G
C01422,Riley Ellis,Alumnus,1990.0,New York,CO,riley.ellisc01422@example.org,G000090,2024-08-14,260.51,Stock,Health Sciences,Designation 06,Officer D
C04952,Quinn Hayes,Alumnus,2024.0,Chicago,TX,quinn.hayesc04952@example.org,G000091,2023-08-21,108.94,Cash,Research,Designation 10,Officer F
C04358,Avery Carter,Alumnus,1965.0,Miami,GA,avery.carterc04358@example.org,G000092,2023-02-06,1275.46,Cash,Health Sciences,Designation 11,Officer A
C04151,Quinn Diaz,Alumnus,1964.0,Miami,IL,quinn.diazc04151@example.org,G000093,2024-05-03,190.25,Cash,Annual Fund,Designation 02,Officer B
C02073,Casey Hayes,Alumnus,1959.0,New York,IL,casey.hayesc02073@example.org,G000094,2023-07-20,1879.95,Pledge Payment,Capital Renewal,Designation 14,Officer E
C03469,Reese Ellis,Friend,1982.0,New York,IL,reese.ellisc03469@example.org,G000095,2021-09-19,9836.53,Cash,Unrestricted,Designation 02,Officer H
C03984,Skyler Brooks,Alumnus,1986.0,Miami,TX,skyler.brooksc03984@example.org,G000096,2025-12-26,2212.8,Cash,Student Success,Designation 04,Officer D
C03811,Quinn Irwin,Alumnus,1975.0,Denver,GA,quinn.irwinc03811@example.org,G000097,2026-02-10,323.58,Cash,Unrestricted,Designation 03,Officer B
C03992,Taylor Ellis,Alumnus,1962.0,Atlanta,GA,taylor.ellisc03992@example.org,G000098,2021-11-06,1748.03,Matching Gift,Research,Designation 02,Officer C
C02676,Skyler Jones,Alumnus,2008.0,Chicago,TX,skyler.jonesc02676@example.org,G000099,2024-03-25,1608.42,Cash,Research,Designation 12,Officer H
C03105,Riley Diaz,Friend,1993.0,Miami,TX,riley.diazc03105@example.org,G000100,2026-04-19,86.61,Cash,Capital Renewal,Designation 13,Officer C
C03941,Casey Jones,Alumnus,1996.0,Chicago,WA,casey.jonesc03941@example.org,G000101,2024-07-27,643.4,Pledge Payment,Research,Designation 09,Officer D
C00288,Morgan Jones,Alumnus,2017.0,Miami,CO,morgan.jonesc00288@example.org,G000102,2024-08-03,562.79,Cash,Capital Renewal,Designation 04,Officer F
C01422,Riley Ellis,Alumnus,1990.0,New York,CO,riley.ellisc01422@example.org,G000103,2025-02-13,307.99,Pledge Payment,Athletics,Designation 05,Officer G
C04151,Quinn Diaz,Alumnus,1964.0,Miami,IL,quinn.diazc04151@example.org,G000104,2022-02-05,1157.22,Stock,Library,Designation 02,Officer B
C04329,Taylor Jones,Alumnus,2006.0,Chicago,GA,taylor.jonesc04329@example.org,G000105,2022-11-06,674.92,Cash,Student Success,Designation 15,Officer H
C02553,Jordan Diaz,Alumnus,1986.0,Denver,GA,jordan.diazc02553@example.org,G000106,2022-10-01,1602.52,Cash,Research,Designation 15,Officer A
C02676,Skyler Jones,Alumnus,2008.0,Chicago,TX,skyler.jonesc02676@example.org,G000107,2025-02-19,824.62,Cash,Health Sciences,Designation 01,Officer A
C04775,Skyler Ellis,Alumnus,1988.0,Seattle,NY,skyler.ellisc04775@example.org,G000108,2026-05-17,266.05,Cash,Arts,Designation 15,Officer F
C03514,Taylor Diaz,Alumnus,1967.0,Dallas,GA,taylor.diazc03514@example.org,G000109,2025-09-30,85.66,Cash,Library,Designation 01,Officer H
C00522,Skyler Adams,Alumnus,2000.0,Chicago,CO,skyler.adamsc00522@example.org,G000110,2023-06-20,784.73,Cash,Student Success,Designation 05,Officer C
C02676,Skyler Jones,Alumnus,2008.0,Chicago,TX,skyler.jonesc02676@example.org,G000111,2022-10-20,539.25,Cash,Scholarships,Designation 02,Officer G
C04383,Riley Diaz,Friend,1965.0,New York,MA,riley.diazc04383@example.org,G000112,2023-08-02,248.47,Cash,Research,Designation 05,Officer B
C02136,Riley Green,Parent,1984.0,Denver,TX,riley.greenc02136@example.org,G000113,2025-05-26,503.52,Pledge Payment,Unrestricted,Designation 09,Officer C
C01688,Taylor Irwin,Alumnus,1998.0,Boston,FL,taylor.irwinc01688@example.org,G000114,2021-11-22,2094.44,Cash,Unrestricted,Designation 14,Officer G
C00174,Cameron Hayes,Alumnus,2025.0,Boston,TX,cameron.hayesc00174@example.org,G000115,2023-08-08,2540.35,Pledge Payment,Research,Designation 01,Officer G
C02058,Riley Adams,Alumnus,1961.0,Boston,TX,riley.adamsc02058@example.org,G000116,2022-08-06,185.67,Cash,Annual Fund,Designation 08,Officer B
C03401,Cameron Diaz,Parent,1958.0,Seattle,GA,cameron.diazc03401@example.org,G000117,2025-08-19,1124.18,Cash,Athletics,Designation 11,Officer E
C02676,Skyler Jones,Alumnus,2008.0,Chicago,TX,skyler.jonesc02676@example.org,G000118,2023-01-02,498.87,Stock,Student Success,Designation 09,Officer B
C02082,Riley Carter,Parent,2015.0,Dallas,GA,riley.carterc02082@example.org,G000119,2022-03-26,392.61,Cash,Scholarships,Designation 02,Officer F
C00832,Jordan Carter,Alumnus,1965.0,Chicago,CO,jordan.carterc00832@example.org,G000120,2024-09-26,674.76,Cash,Health Sciences,Designation 11,Officer C
C01422,Riley Ellis,Alumnus,1990.0,New York,CO,riley.ellisc01422@example.org,G000121,2023-01-04,104.08,Cash,Student Success,Designation 03,Officer H
C02770,Riley Adams,Friend,1972.0,Miami,MA,riley.adamsc02770@example.org,G000122,2021-09-02,374.13,Cash,Student Success,Designation 12,Officer A
C02770,Riley Adams,Friend,1972.0,Miami,MA,riley.adamsc02770@example.org,G000123,2021-07-24,15790.12,Matching Gift,Arts,Designation 03,Officer H
C01555,Skyler Brooks,Friend,1956.0,Dallas,MA,skyler.brooksc01555@example.org,G000124,2022-12-03,150.71,Cash,Unrestricted,Designation 14,Officer C
C02100,Avery Irwin,Alumnus,1993.0,Denver,MA,avery.irwinc02100@example.org,G000125,2024-03-18,853.46,Pledge Payment,Scholarships,Designation 04,Officer E
C04421,Cameron Irwin,Alumnus,1996.0,New York,IL,cameron.irwinc04421@example.org,G000126,2022-07-11,1095.72,Cash,Capital Renewal,Designation 06,Officer B
C00333,Riley Carter,Alumnus,2001.0,Chicago,MA,riley.carterc00333@example.org,G000127,2024-01-31,2540.25,Cash,Athletics,Designation 01,Officer H
C02100,Avery Irwin,Alumnus,1993.0,Denver,MA,avery.irwinc02100@example.org,G000128,2021-11-01,850.62,Cash,Student Success,Designation 06,Officer C
C03520,Taylor Jones,Parent,1998.0,Miami,MA,taylor.jonesc03520@example.org,G000129,2022-03-01,76.94,Pledge Payment,Annual Fund,Designation 14,Officer E
C04921,Morgan Diaz,Friend,2024.0,Miami,CO,morgan.diazc04921@example.org,G000130,2023-11-14,1729.81,Cash,Capital Renewal,Designation 07,Officer E
C01036,Taylor Brooks,Parent,1960.0,Denver,TX,taylor.brooksc01036@example.org,G000131,2022-12-18,381.72,Cash,Student Success,Designation 08,Officer G
C02666,Skyler Brooks,Parent,2016.0,Dallas,FL,skyler.brooksc02666@example.org,G000132,2022-04-02,2618.33,Cash,Capital Renewal,Designation 07,Officer E
C01074,Reese Brooks,Alumnus,2009.0,Atlanta,WA,reese.brooksc01074@example.org,G000133,2022-09-03,924.33,Matching Gift,Arts,Designation 15,Officer B
C01547,Morgan Adams,Alumnus,1987.0,Denver,WA,morgan.adamsc01547@example.org,G000134,2025-06-14,32.44,Cash,Research,Designation 04,Officer A
C02177,Jordan Diaz,Parent,2012.0,Chicago,IL,jordan.diazc02177@example.org,G000135,2022-03-14,1230.36,Cash,Annual Fund,Designation 09,Officer F
C00559,Casey Ellis,Alumnus,1993.0,Boston,IL,casey.ellisc00559@example.org,G000136,2023-03-24,866.01,Cash,Student Success,Designation 05,Officer H
C04516,Cameron Hayes,Friend,1963.0,Chicago,TX,cameron.hayesc04516@example.org,G000137,2026-01-16,315.8,Matching Gift,Capital Renewal,Designation 07,Officer D
C04920,Avery Brooks,Friend,1989.0,Seattle,CO,avery.brooksc04920@example.org,G000138,2025-03-02,280.7,Pledge Payment,Annual Fund,Designation 10,Officer F
C01016,Casey Diaz,Alumnus,1958.0,New York,CO,casey.diazc01016@example.org,G000139,2022-01-31,1143.06,Matching Gift,Research,Designation 12,Officer D
C01422,Riley Ellis,Alumnus,1990.0,New York,CO,riley.ellisc01422@example.org,G000140,2023-11-23,259.75,Cash,Capital Renewal,Designation 13,Officer F
C01888,Reese Green,Parent,2017.0,Atlanta,MA,reese.greenc01888@example.org,G000141,2022-01-09,1333.68,Cash,Library,Designation 01,Officer C
C03130,Cameron Green,Friend,2015.0,New York,MA,cameron.greenc03130@example.org,G000142,2022-09-23,5717.04,Pledge Payment,Health Sciences,Designation 03,Officer E
C04628,Jordan Adams,Alumnus,1975.0,Boston,CO,jordan.adamsc04628@example.org,G000143,2022-06-13,1241.12,Cash,Scholarships,Designation 07,Officer C
C04294,Riley Green,Parent,2024.0,Dallas,GA,riley.greenc04294@example.org,G000144,2023-01-24,590.04,Cash,Arts,Designation 03,Officer D
C04353,Morgan Irwin,Parent,1967.0,Chicago,GA,morgan.irwinc04353@example.org,G000145,2023-03-06,729.72,Cash,Health Sciences,Designation 02,Officer G
C01422,Riley Ellis,Alumnus,1990.0,New York,CO,riley.ellisc01422@example.org,G000146,2023-02-17,46.49,Matching Gift,Athletics,Designation 12,Officer A
C02842,Casey Ellis,Alumnus,1972.0,New York,WA,casey.ellisc02842@example.org,G000147,2024-09-11,2701.62,Stock,Student Success,Designation 08,Officer B
C02078,Riley Brooks,Alumnus,2008.0,Chicago,NY,riley.brooksc02078@example.org,G000148,2023-08-13,652.35,Cash,Research,Designation 07,Officer C
C01253,Morgan Carter,Alumnus,1962.0,Atlanta,CO,morgan.carterc01253@example.org,G000149,2024-01-17,5883.11,Cash,Arts,Designation 10,Officer G
C01422,Riley Ellis,Alumnus,1990.0,New York,CO,riley.ellisc01422@example.org,G000150,2022-04-12,58.7,Stock,Arts,Designation 02,Officer C
C03178,Casey Ellis,Alumnus,1967.0,Denver,IL,casey.ellisc03178@example.org,G000151,2024-06-19,780.5,Cash,Annual Fund,Designation 06,Officer D
C01557,Taylor Carter,Alumnus,1981.0,Atlanta,CO,taylor.carterc01557@example.org,G000152,2025-02-21,394.1,Cash,Research,Designation 13,Officer E
C03239,Skyler Jones,Alumnus,1987.0,Denver,NY,skyler.jonesc03239@example.org,G000153,2022-04-17,307.46,Cash,Arts,Designation 06,Officer C
C01422,Riley Ellis,Alumnus,1990.0,New York,CO,riley.ellisc01422@example.org,G000154,2024-01-17,1746.27,Cash,Health Sciences,Designation 12,Officer B
C02090,Morgan Brooks,Parent,1956.0,New York,TX,morgan.brooksc02090@example.org,G000155,2026-06-28,178.59,Cash,Health Sciences,Designation 08,Officer H
C01175,Quinn Jones,Parent,2007.0,Chicago,NY,quinn.jonesc01175@example.org,G000156,2026-04-27,661.29,Cash,Unrestricted,Designation 13,Officer A
C00424,Quinn Ellis,Friend,1971.0,New York,GA,quinn.ellisc00424@example.org,G000157,2023-01-08,261.06,Pledge Payment,Health Sciences,Designation 06,Officer H
C04329,Taylor Jones,Alumnus,2006.0,Chicago,GA,taylor.jonesc04329@example.org,G000158,2026-04-05,908.49,Cash,Library,Designation 04,Officer H
C04756,Riley Adams,Alumnus,1960.0,Boston,IL,riley.adamsc04756@example.org,G000159,2025-08-13,261.02,Cash,Athletics,Designation 11,Officer G
C00003,Taylor Hayes,Parent,1976.0,Denver,MA,taylor.hayesc00003@example.org,G000160,2026-01-26,39.77,Pledge Payment,Arts,Designation 06,Officer D
C01700,Cameron Brooks,Alumnus,1963.0,Chicago,IL,cameron.brooksc01700@example.org,G000161,2022-09-14,903.23,Cash,Library,Designation 08,Officer H
C01498,Reese Brooks,Alumnus,1978.0,Dallas,TX,reese.brooksc01498@example.org,G000162,2023-02-17,1257.89,Cash,Capital Renewal,Designation 12,Officer D
C03435,Skyler Foster,Alumnus,2018.0,Seattle,WA,skyler.fosterc03435@example.org,G000163,2026-02-04,224.2,Cash,Arts,Designation 14,Officer A
C00424,Quinn Ellis,Friend,1971.0,New York,GA,quinn.ellisc00424@example.org,G000164,2023-09-19,715.99,Cash,Student Success,Designation 13,Officer G
C00409,Avery Green,Alumnus,1988.0,Seattle,GA,avery.greenc00409@example.org,G000165,2026-01-29,369.53,Matching Gift,Athletics,Designation 13,Officer B
C04598,Reese Ellis,Friend,1958.0,Atlanta,GA,reese.ellisc04598@example.org,G000166,2025-05-25,207.46,Cash,Health Sciences,Designation 01,Officer F
C01663,Reese Irwin,Alumnus,1990.0,Denver,IL,reese.irwinc01663@example.org,G000167,2025-01-21,2178.42,Pledge Payment,Arts,Designation 11,Officer H
C00498,Morgan Ellis,Alumnus,2023.0,Chicago,WA,morgan.ellisc00498@example.org,G000168,2023-09-16,47.93,Cash,Unrestricted,Designation 01,Officer F
C02100,Avery Irwin,Alumnus,1993.0,Denver,MA,avery.irwinc02100@example.org,G000169,2025-02-11,180.0,Pledge Payment,Scholarships,Designation 07,Officer G
C02451,Cameron Hayes,Friend,1973.0,Dallas,MA,cameron.hayesc02451@example.org,G000170,2023-04-07,290.57,Pledge Payment,Health Sciences,Designation 02,Officer F
C01422,Riley Ellis,Alumnus,1990.0,New York,CO,riley.ellisc01422@example.org,G000171,2024-03-12,804.65,Cash,Research,Designation 11,Officer E
C04512,Jordan Hayes,Parent,2000.0,Seattle,WA,jordan.hayesc04512@example.org,G000172,2022-10-24,272.73,Cash,Scholarships,Designation 04,Officer H
C02100,Avery Irwin,Alumnus,1993.0,Denver,MA,avery.irwinc02100@example.org,G000173,2022-09-10,372.1,Pledge Payment,Scholarships,Designation 09,Officer E
C03514,Taylor Diaz,Alumnus,1967.0,Dallas,GA,taylor.diazc03514@example.org,G000174,2021-08-09,1998.03,Cash,Student Success,Designation 06,Officer H
C04005,Quinn Jones,Parent,1994.0,Chicago,WA,quinn.jonesc04005@example.org,G000175,2025-02-19,335.61,Cash,Annual Fund,Designation 14,Officer A
